Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1996,1,1.251,0.884,0.818,0.457,0.454,0.091,0.036,0.460,0.848,0.727,0.066,0.055,1.600,7.860,-0.216,0
1996,2,1.374,0.818,0.749,0.384,0.378,0.008,-0.042,0.388,0.860,0.741,0.069,0.050,1.570,7.870,-0.309,0
1996,3,1.053,0.796,0.738,0.377,0.373,0.008,-0.047,0.375,0.843,0.730,0.058,0.055,1.560,7.840,-0.608,0
1996,4,1.134,0.827,0.769,0.404,0.399,0.029,-0.008,0.409,0.835,0.740,0.058,0.037,1.550,7.820,-0.231,0
1996,5,1.167,0.865,0.814,0.436,0.430,0.046,0.015,0.440,0.850,0.768,0.051,0.031,1.510,7.770,-0.192,0
1996,6,1.102,0.881,0.828,0.450,0.444,0.059,0.036,0.458,0.845,0.769,0.053,0.023,1.440,7.740,-0.126,0
1996,7,1.131,0.873,0.815,0.429,0.420,0.025,-0.008,0.432,0.881,0.790,0.058,0.033,1.470,7.820,-0.224,0
1996,8,1.138,0.935,0.898,0.506,0.498,0.099,0.078,0.506,0.857,0.799,0.037,0.021,1.450,7.770,-0.072,0
1996,9,1.252,1.072,1.019,0.648,0.641,0.264,0.227,0.649,0.845,0.755,0.053,0.037,1.500,7.790,-0.045,0
1996,10,1.540,1.024,0.975,0.601,0.597,0.220,0.178,0.601,0.846,0.755,0.049,0.042,1.550,7.790,-0.083,0
1996,11,1.330,0.933,0.881,0.515,0.508,0.136,0.099,0.516,0.834,0.745,0.052,0.037,1.590,7.840,-0.140,0
1996,12,1.315,0.934,0.883,0.520,0.515,0.148,0.114,0.524,0.820,0.735,0.051,0.034,1.600,7.880,-0.294,0
1997,1,1.054,0.805,0.750,0.382,0.377,0.004,-0.049,0.378,0.854,0.746,0.055,0.053,1.570,7.880,-0.368,0
1997,2,1.338,0.822,0.772,0.402,0.394,0.016,-0.029,0.396,0.851,0.756,0.050,0.045,1.570,7.850,-0.307,0
1997,3,1.104,0.855,0.806,0.441,0.434,0.063,0.009,0.432,0.846,0.743,0.049,0.054,1.570,7.900,-0.517,0
1997,4,1.591,0.958,0.909,0.539,0.532,0.156,0.113,0.536,0.845,0.753,0.049,0.043,1.430,7.750,-0.107,0
1997,5,1.138,0.822,0.770,0.385,0.379,-0.012,-0.044,0.389,0.866,0.782,0.052,0.032,1.530,7.730,-0.244,0
1997,6,1.483,0.988,0.937,0.562,0.554,0.172,0.146,0.567,0.842,0.765,0.051,0.026,1.510,7.760,-0.096,0
1997,7,1.203,0.887,0.833,0.458,0.448,0.064,0.045,0.466,0.842,0.769,0.054,0.019,1.540,7.850,-0.207,0
1997,8,1.122,0.914,0.862,0.486,0.480,0.097,0.075,0.494,0.839,0.765,0.052,0.022,1.480,7.760,-0.170,0
1997,9,1.112,0.940,0.891,0.519,0.514,0.137,0.102,0.521,0.838,0.754,0.049,0.035,1.550,7.840,-0.105,0
1997,10,1.689,0.986,0.926,0.557,0.551,0.177,0.142,0.564,0.844,0.749,0.060,0.035,1.640,7.890,-0.120,0
1997,11,1.340,0.942,0.874,0.508,0.501,0.129,0.085,0.513,0.857,0.745,0.068,0.044,1.620,7.820,-0.384,0
1997,12,1.313,0.887,0.818,0.438,0.433,0.049,-0.004,0.441,0.891,0.769,0.069,0.053,1.630,7.870,-0.445,0
1998,1,1.840,0.954,0.888,0.520,0.512,0.137,0.093,0.524,0.861,0.751,0.066,0.044,1.560,7.850,-0.792,0
1998,2,2.004,1.181,1.113,0.750,0.743,0.374,0.320,0.750,0.861,0.739,0.068,0.054,1.550,7.840,-0.017,0
1998,3,1.215,0.897,0.849,0.468,0.461,0.073,0.040,0.468,0.857,0.776,0.048,0.033,1.470,7.780,-0.418,0
1998,4,1.475,0.986,0.918,0.541,0.537,0.156,0.122,0.554,0.864,0.762,0.068,0.034,1.500,7.840,-0.175,0
1998,5,1.490,1.028,0.976,0.611,0.605,0.235,0.206,0.617,0.822,0.741,0.052,0.029,1.460,7.750,-0.044,0
1998,6,1.094,0.929,0.878,0.512,0.504,0.129,0.102,0.516,0.827,0.749,0.051,0.027,1.570,7.790,-0.053,0
1998,7,1.041,0.910,0.862,0.496,0.486,0.111,0.092,0.501,0.818,0.751,0.048,0.019,1.520,7.760,-0.076,0
1998,8,1.688,0.993,0.940,0.576,0.568,0.196,0.164,0.579,0.829,0.744,0.053,0.032,1.490,7.800,-0.102,0
1998,9,1.255,0.957,0.911,0.541,0.534,0.158,0.120,0.538,0.837,0.753,0.046,0.038,1.500,7.730,-0.178,0
1998,10,1.089,0.919,0.863,0.487,0.484,0.105,0.073,0.496,0.846,0.758,0.056,0.032,1.560,7.810,-0.162,0
1998,11,1.182,0.835,0.782,0.413,0.408,0.034,0.003,0.419,0.832,0.748,0.053,0.031,1.680,7.920,-0.162,0
1998,12,1.118,0.839,0.783,0.409,0.408,0.033,-0.019,0.410,0.858,0.750,0.056,0.052,1.700,7.970,-0.353,0
1999,1,1.206,0.759,0.699,0.325,0.321,-0.058,-0.103,0.328,0.862,0.757,0.060,0.045,1.700,8.000,-0.328,0
1999,2,1.192,0.915,0.870,0.509,0.502,0.135,0.100,0.507,0.815,0.735,0.045,0.035,1.660,7.900,-0.085,0
1999,3,1.383,0.838,0.781,0.401,0.398,0.015,-0.051,0.393,0.889,0.766,0.057,0.066,1.630,7.920,-0.576,0
1999,4,1.137,0.898,0.845,0.478,0.470,0.096,0.058,0.478,0.840,0.749,0.053,0.038,1.570,7.790,-0.255,0
1999,5,1.515,0.976,0.917,0.546,0.541,0.165,0.138,0.557,0.838,0.752,0.059,0.027,1.550,7.790,-0.048,0
1999,6,1.227,0.897,0.841,0.472,0.465,0.089,0.066,0.481,0.831,0.752,0.056,0.023,1.540,7.800,-0.170,0
1999,7,1.269,0.878,0.829,0.449,0.442,0.055,0.029,0.453,0.849,0.774,0.049,0.026,1.540,7.800,-0.303,0
1999,8,1.705,0.984,0.927,0.549,0.545,0.164,0.134,0.559,0.850,0.763,0.057,0.030,1.570,7.800,-0.140,0
1999,9,1.820,1.086,1.013,0.629,0.623,0.233,0.199,0.642,0.887,0.780,0.073,0.034,1.520,7.840,-0.146,0
1999,10,1.163,0.917,0.865,0.494,0.489,0.113,0.077,0.497,0.840,0.752,0.052,0.036,1.550,7.850,-0.241,0
1999,11,1.069,0.837,0.775,0.399,0.395,0.014,-0.027,0.405,0.864,0.761,0.062,0.041,1.620,7.890,-0.428,0
1999,12,1.128,0.792,0.729,0.366,0.359,-0.011,-0.064,0.364,0.856,0.740,0.063,0.053,1.730,7.960,-0.304,0
2000,1,1.667,0.756,0.669,0.301,0.301,-0.066,-0.130,0.313,0.886,0.735,0.087,0.064,1.710,7.960,-0.389,0
2000,2,0.912,0.680,0.624,0.252,0.247,-0.129,-0.172,0.254,0.852,0.753,0.056,0.043,1.550,7.820,-0.506,0
2000,3,1.326,0.843,0.795,0.434,0.430,0.066,0.026,0.434,0.817,0.729,0.048,0.040,1.580,7.860,-0.215,0
2000,4,1.515,0.884,0.821,0.449,0.442,0.063,0.013,0.448,0.871,0.758,0.063,0.050,1.610,7.860,-0.458,0
2000,5,1.617,0.914,0.859,0.488,0.480,0.101,0.052,0.483,0.862,0.758,0.055,0.049,1.490,7.750,-0.230,0
2000,6,1.156,0.848,0.786,0.412,0.405,0.024,-0.012,0.418,0.860,0.762,0.062,0.036,1.460,7.760,-0.208,0
2000,7,1.174,0.948,0.889,0.509,0.501,0.113,0.077,0.512,0.871,0.776,0.059,0.036,1.490,7.770,-0.175,0
2000,8,1.236,0.919,0.867,0.489,0.480,0.094,0.066,0.492,0.853,0.773,0.052,0.028,1.560,7.780,-0.129,0
2000,9,1.425,0.982,0.936,0.565,0.560,0.184,0.149,0.565,0.833,0.752,0.046,0.035,1.640,7.860,-0.168,0
2000,10,1.147,0.915,0.873,0.514,0.508,0.144,0.105,0.510,0.810,0.729,0.042,0.039,1.550,7.770,-0.223,0
